unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20145028421,"503 E 15TH STAustin, TX 78701s(30.275568, -97.734812)",7,2014-06-30 00:00:00 UTC,Cleared by Arrest,1,BURGLARY OF VEHICLE           ,B,503 E 15TH ST,Theft,2014-06-27 00:00:00 UTC,3116799,10073497,2014,78701
20145035880,"504 E 15TH STAustin, TX 78701s(30.275515, -97.734293)",7,2014-08-19 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,504 E 15TH ST,Theft,2014-08-13 00:00:00 UTC,3116860,10073577,2014,78701
20141400614,"504 W 13TH STAustin, TX 78701s(30.276484, -97.745407)",7,2014-05-30 00:00:00 UTC,Not cleared,9,BURGLARY NON RESIDENCE        ,B,504 W 13TH ST,Burglary,2014-05-20 00:00:00 UTC,3113448,10073913,2014,78701
2014301637,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-02-03 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-01-30 00:00:00 UTC,3117100,10073351,2014,78701
2014801159,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-03-25 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-03-21 00:00:00 UTC,3117100,10073351,2014,78701
20142550867,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-09-15 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-09-12 00:00:00 UTC,3117100,10073351,2014,78701
20145027611,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-06-24 00:00:00 UTC,Cleared by Arrest,1,THEFT OF BICYCLE              ,B,601 E 15TH ST,Theft,2014-06-21 00:00:00 UTC,3117100,10073351,2014,78701
20145031027,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-07-17 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-07-14 00:00:00 UTC,3117100,10073351,2014,78701
20145028178,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-07-16 00:00:00 UTC,Cleared by Arrest,1,THEFT FROM AUTO               ,B,601 E 15TH ST,Theft,2014-06-25 00:00:00 UTC,3117100,10073351,2014,78701
20141641285,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-06-18 00:00:00 UTC,Cleared by Arrest,1,THEFT OF BICYCLE              ,B,601 E 15TH ST,Theft,2014-06-13 00:00:00 UTC,3117100,10073351,2014,78701
20145040341,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-09-30 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-09-10 00:00:00 UTC,3117100,10073351,2014,78701
